defined_class,defined_class_label,chemical,chemical_label,material,material_label,,,,,,,,,,
SRPDIO:1000060,,CHEBI:155920,elemental gallium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000061,,CHEBI:33970,elemental gold,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000062,,CHEBI:37114,elemental indium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000063,,CHEBI:82663,elemental iron,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000064,,CHEBI:155921,elemental lanthanum,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000065,,CHEBI:37193,elemental lead,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000066,,CHEBI:155867,elemental lithium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000067,,CHEBI:33973,elemental magnesium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000068,,CHEBI:35115,elemental manganese,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000069,,CHEBI:35113,elemental mercury,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000070,,CHEBI:37237,elemental molybdenum,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000071,,CHEBI:155868,elemental nickel,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000072,,CHEBI:155922,elemental niobium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000073,,CHEBI:33464,elemental phosphorus,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000074,,CHEBI:37247,elemental potassium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000075,,CHEBI:155923,elemental rubidium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000076,,CHEBI:36904,elemental selenium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000077,,CHEBI:37763,elemental silicon,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000078,,CHEBI:33966,elemental silver,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000079,,CHEBI:37246,elemental sodium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000080,,CHEBI:39131,elemental strontium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000081,,CHEBI:33403,elemental sulfur,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000082,,CHEBI:36660,elemental tellurium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000083,,CHEBI:37113,elemental thallium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000084,,CHEBI:155924,elemental thorium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000085,,CHEBI:37767,elemental tin,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000086,,CHEBI:155870,elemental titanium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000087,,CHEBI:131925,elemental tungsten,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000088,,CHEBI:50559,elemental uranium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000089,,CHEBI:35171,elemental vanadium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000090,,CHEBI:155925,elemental yttrium,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000091,,CHEBI:37253,elemental zinc,ENVO:00001998,soil,,,,,,,,,,
SRPDIO:1000092,,CHEBI:33628,elemental aluminium,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000093,,CHEBI:36922,elemental antimony,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000094,,CHEBI:35826,elemental arsenic,ENVO:00002006,liquid water,,,,,,,,,,
SRPDIO:1000095,,CHEBI:37134,elemental barium,ENVO:00002006,liquid water,,,,,,,,,,
