defined_class,datum,datum_label,var1,var1_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010696,SRPDIO:1000010,median household income in the past 12 months (in 2018 inflation-adjusted dollars),SRPDIO:1001022,househould mortgage status,B25099_001E,Estimate!!Median household income --!!Total,MORTGAGE STATUS BY MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)
SRPDIO:2010697,SRPDIO:1000010,median household income in the past 12 months (in 2018 inflation-adjusted dollars),SRPDIO:1001125,with a mortgage,B25099_002E,Estimate!!Median household income --!!Total!!Median household income for units with a mortgage,MORTGAGE STATUS BY MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)
SRPDIO:2010698,SRPDIO:1000010,median household income in the past 12 months (in 2018 inflation-adjusted dollars),SRPDIO:1001126,without a mortgage,B25099_003E,Estimate!!Median household income --!!Total!!Median household income for units without a mortgage,MORTGAGE STATUS BY MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)
