Level	Rule Name	Subject	Property	Value
INFO	missing_superclass	concentration of elemental chromium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental cobalt in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental copper in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental gallium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental gold in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental indium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental iron in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lanthanum in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lead in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lithium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental magnesium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental manganese in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental mercury in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental molybdenum in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental nickel in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental niobium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental phosphorus in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental potassium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental rubidium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental selenium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental silicon in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental silver in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental sodium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental strontium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental sulfur in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental tellurium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental thallium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental thorium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental tin in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental titanium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental tungsten in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental uranium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental vanadium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental yttrium in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental zinc in plant structure	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental aluminium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental antimony in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental arsenic in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental barium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental beryllium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental bismuth in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental boron in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental cadmium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental caesium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental calcium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental cerium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental chromium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental cobalt in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental copper in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental gallium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental gold in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental indium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental iron in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lanthanum in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lead in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lithium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental magnesium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental manganese in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental mercury in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental molybdenum in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental nickel in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental niobium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental phosphorus in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental potassium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental rubidium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental selenium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental silicon in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental silver in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental sodium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental strontium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental sulfur in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental tellurium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental thallium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental thorium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental tin in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental titanium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental tungsten in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental uranium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental vanadium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental yttrium in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental zinc in bulb	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental aluminium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental antimony in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental arsenic in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental barium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental beryllium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental bismuth in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental boron in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental cadmium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental caesium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental calcium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental cerium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental chromium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental cobalt in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental copper in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental gallium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental gold in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental indium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental iron in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lanthanum in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lead in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental lithium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental magnesium in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental manganese in fruit	rdfs:subClassOf	
INFO	missing_superclass	concentration of elemental mercury in fruit	rdfs:subClassOf	
