defined_class,datum,var1,var1_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010670,SRPDIO:1000010,SRPDIO:1001021,household size,B19019_001E,Estimate!!Total,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE
SRPDIO:2010671,SRPDIO:1000010,SRPDIO:1001119,1-person households,B19019_002E,Estimate!!Total!!1-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE
SRPDIO:2010672,SRPDIO:1000010,SRPDIO:1001120,2-person households,B19019_003E,Estimate!!Total!!2-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE
SRPDIO:2010673,SRPDIO:1000010,SRPDIO:1001121,3-person households,B19019_004E,Estimate!!Total!!3-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE
SRPDIO:2010674,SRPDIO:1000010,SRPDIO:1001122,4-person households,B19019_005E,Estimate!!Total!!4-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE
SRPDIO:2010675,SRPDIO:1000010,SRPDIO:1001123,5-person households,B19019_006E,Estimate!!Total!!5-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE
SRPDIO:2010676,SRPDIO:1000010,SRPDIO:1001124,6-person households,B19019_007E,Estimate!!Total!!6-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE
SRPDIO:2010677,SRPDIO:1000010,SRPDIO:1001191,7-or-more-person households,B19019_008E,Estimate!!Total!!7-or-more-person households,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY HOUSEHOLD SIZE
