defined_class,datum,datum_label,var1,var1_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010688,SRPDIO:1000010,median household income in the past 12 months (in 2018 inflation-adjusted dollars),SRPDIO:1001089,householder age category,B19049_001E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY AGE OF HOUSEHOLDER
SRPDIO:2010689,SRPDIO:1000010,median household income in the past 12 months (in 2018 inflation-adjusted dollars),SRPDIO:1001090,householder under 25 years,B19049_002E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars) --!!Householder under 25 years,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY AGE OF HOUSEHOLDER
SRPDIO:2010690,SRPDIO:1000010,median household income in the past 12 months (in 2018 inflation-adjusted dollars),SRPDIO:1001091,householder 25 to 44 years,B19049_003E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars) --!!Householder 25 to 44 years,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY AGE OF HOUSEHOLDER
SRPDIO:2010691,SRPDIO:1000010,median household income in the past 12 months (in 2018 inflation-adjusted dollars),SRPDIO:1001092,householder 45 to 64 years,B19049_004E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars) --!!Householder 45 to 64 years,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY AGE OF HOUSEHOLDER
SRPDIO:2010692,SRPDIO:1000010,median household income in the past 12 months (in 2018 inflation-adjusted dollars),SRPDIO:1001093,householder 65 years and over,B19049_005E,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars) --!!Householder 65 years and over,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY AGE OF HOUSEHOLDER
